local_file_id	path_stub_or_redacted_path	file_name	extension	file_size_bytes	modified_date	probable_author_from_path	probable_title_from_filename	probable_year_from_filename	probable_volume_issue_from_filename	folder_context	is_probable_jbrs	manifest_confidence	needs_manual_review	notes
021089-ff13fedb53c6	Burmese/Burma JBRS/JBRS Originals/021089.pdf	021089.pdf	pdf	247067						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021092-f8a87538e515	Burmese/Burma JBRS/JBRS Originals/021092.pdf	021092.pdf	pdf	72238						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021093-a2e7c6edbf7d	Burmese/Burma JBRS/JBRS Originals/021093.pdf	021093.pdf	pdf	70993						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021094-87e71e4a1898	Burmese/Burma JBRS/JBRS Originals/021094.pdf	021094.pdf	pdf	337003						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021100-e3ca1d95f971	Burmese/Burma JBRS/JBRS Originals/021100.pdf	021100.pdf	pdf	61392						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021101-a70e6ebcd0be	Burmese/Burma JBRS/JBRS Originals/021101.pdf	021101.pdf	pdf	70770						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021102-47cd984de84e	Burmese/Burma JBRS/JBRS Originals/021102.pdf	021102.pdf	pdf	71180						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021103-5ad576bc2bb5	Burmese/Burma JBRS/JBRS Originals/021103.pdf	021103.pdf	pdf	184692						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021106-6d4b534bc547	Burmese/Burma JBRS/JBRS Originals/021106.pdf	021106.pdf	pdf	40482						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021107-a9645b2e5e1f	Burmese/Burma JBRS/JBRS Originals/021107.pdf	021107.pdf	pdf	383652						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021112-c873814f58c7	Burmese/Burma JBRS/JBRS Originals/021112.pdf	021112.pdf	pdf	307690						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021116-d6d09984eb53	Burmese/Burma JBRS/JBRS Originals/021116.pdf	021116.pdf	pdf	61307						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021117-388297a119a1	Burmese/Burma JBRS/JBRS Originals/021117.pdf	021117.pdf	pdf	112868						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021119-71fce7cacf64	Burmese/Burma JBRS/JBRS Originals/021119.pdf	021119.pdf	pdf	184807						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021122-4fb2435e6ff7	Burmese/Burma JBRS/JBRS Originals/021122.pdf	021122.pdf	pdf	93403						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
021153-c0b5429f7583	Burmese/Burma JBRS/JBRS Originals/021153.pdf	021153.pdf	pdf	489895						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022161-d63c1adf8182	Burmese/Burma JBRS/JBRS Originals/022161.pdf	022161.pdf	pdf	484404						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022168-59d80fadb2c1	Burmese/Burma JBRS/JBRS Originals/022168.pdf	022168.pdf	pdf	270032						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022174-24543b603e1c	Burmese/Burma JBRS/JBRS Originals/022174.pdf	022174.pdf	pdf	536786						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022184-3fadd36c6f9f	Burmese/Burma JBRS/JBRS Originals/022184.pdf	022184.pdf	pdf	620113						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022185-5ee45304382d	Burmese/Burma JBRS/JBRS Originals/022185.pdf	022185.pdf	pdf	930485						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022197-8584b5a9c2b3	Burmese/Burma JBRS/JBRS Originals/022197.pdf	022197.pdf	pdf	463943						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022204-7515fa8967e5	Burmese/Burma JBRS/JBRS Originals/022204.pdf	022204.pdf	pdf	716688						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022214-9e69320194b0	Burmese/Burma JBRS/JBRS Originals/022214.pdf	022214.pdf	pdf	267006						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022217-31decb87a064	Burmese/Burma JBRS/JBRS Originals/022217.pdf	022217.pdf	pdf	41484						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022218-0ddb91a99dbf	Burmese/Burma JBRS/JBRS Originals/022218.pdf	022218.pdf	pdf	532580						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022225-fb51361f1555	Burmese/Burma JBRS/JBRS Originals/022225.pdf	022225.pdf	pdf	464912						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022230-d1542fbc4042	Burmese/Burma JBRS/JBRS Originals/022230.pdf	022230.pdf	pdf	219230						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022233-d37ca7c192f0	Burmese/Burma JBRS/JBRS Originals/022233.pdf	022233.pdf	pdf	296005						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022237-3c2ab23db440	Burmese/Burma JBRS/JBRS Originals/022237.pdf	022237.pdf	pdf	149446						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022239-bb0c982578cb	Burmese/Burma JBRS/JBRS Originals/022239.pdf	022239.pdf	pdf	123232						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022240-6b134be892b8	Burmese/Burma JBRS/JBRS Originals/022240.pdf	022240.pdf	pdf	189642						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022242-7ac69cbd6867	Burmese/Burma JBRS/JBRS Originals/022242.pdf	022242.pdf	pdf	200593						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022246-12f5cfdd6f83	Burmese/Burma JBRS/JBRS Originals/022246.pdf	022246.pdf	pdf	132762						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022248-66855a191916	Burmese/Burma JBRS/JBRS Originals/022248.pdf	022248.pdf	pdf	758936						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022260-5b69928a8570	Burmese/Burma JBRS/JBRS Originals/022260.pdf	022260.pdf	pdf	169001						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022262-81a2b9adba06	Burmese/Burma JBRS/JBRS Originals/022262.pdf	022262.pdf	pdf	272100						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022265-2013fe62927d	Burmese/Burma JBRS/JBRS Originals/022265.pdf	022265.pdf	pdf	200554						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
022267-2d605b3b8106	Burmese/Burma JBRS/JBRS Originals/022267.pdf	022267.pdf	pdf	219052						1912 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031001-44faf9d7e1cb	Burmese/Burma JBRS/1913/031001.pdf	031001.pdf	pdf	717803						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031012-bbdb2a8ee20c	Burmese/Burma JBRS/1913/031012.pdf	031012.pdf	pdf	594641						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031022-7823d225cfb2	Burmese/Burma JBRS/JBRS Originals/031022.pdf	031022.pdf	pdf	603227						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031034-928d27d5c4da	Burmese/Burma JBRS/1913/031034.pdf	031034.pdf	pdf	300270						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031040-6cbe6493c725	Burmese/Burma JBRS/JBRS Originals/031040.pdf	031040.pdf	pdf	494730						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031047-aec14a92f349	Burmese/Burma JBRS/JBRS Originals/031047.pdf	031047.pdf	pdf	433970						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031054-de46d2f77992	Burmese/Burma JBRS/1913/031054.pdf	031054.pdf	pdf	629243						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031065-b95e736d9853	Burmese/Burma JBRS/JBRS Originals/031065.pdf	031065.pdf	pdf	278439						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031069-8189371fc53f	Burmese/Burma JBRS/JBRS Originals/031069.pdf	031069.pdf	pdf	78053						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031070-d0d3df8f0935	Burmese/Burma JBRS/JBRS Originals/031070.pdf	031070.pdf	pdf	45323						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031070a-87021dff31dd	Burmese/Burma JBRS/1913/031070A.pdf	031070A.pdf	pdf	24101						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031071-f9b92c1e254a	Burmese/Burma JBRS/JBRS Originals/031071.pdf	031071.pdf	pdf	106346						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
031072-3b18e28ed17d	Burmese/Burma JBRS/1913/031072.pdf	031072.pdf	pdf	186912						1913 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
