record_id	title_original	source_deposit	translation_status	notes
obi-v01-n0092-ob-p0139	လက်ပံသမီး မင်ယမက္လသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0093-re-p0140	နားတောင်းများမင်းကြီး ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0094-ob-p0141	မန္တလေးနန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၄၂၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0095-re-p0142	ကြံသိုင်းကြီးသမီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0096-ob-p0143	ရွှေကွန်ချာဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0096-re-p0146	ရွှေကွန်ချာဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0096-tx-p0148	ရွှေကွန်ချာဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0096-tx-p0150	ရွှေကွန်ချာဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0097-tx-p0151	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0097-tx-p0156	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0097-tx-p0161	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0098-ob-p0164	ငါတတ်သင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0099-ob-p0164	အသင်္ခယာ မင်းမတ်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0100-ob-p0167	သင်ကြီး အို့သီသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0101-ob-p0168	မန္တလေး နန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0102-ob-p0169	အို့ဖ္လည်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0103-ob-p0171	ရွှေဂူကြီးဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0104-ob-p0172	မန္တလေးနန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၄ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0105-ob-p0173	အရည် ငါစိုက်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0106-ob-p0174	ဖုန်သည် သုခမိန် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0107-ob-p0175	မင်းဖွားစောကြီး ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0107-re-p0175	မင်းဖွားစောကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0108-tx-p0176	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0109-ob-p0179	ရွှေပေါင်လောင်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0110-ob-p0183	ငါမြတ်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0111-re-p0184	ငါရသင်နှင့် နှောင်းအမိကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0112-ob-p0184	အရည် ငါစိုက်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0113-ob-p0185	ငါတသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0114-ob-p0186	သိမ်တော်မင်းကျောင်းတွင်းရှိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0115-ob-p0187	မဟာရစ်ကိုယ်တော်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0116-ob-p0188	အဖွါး အိုတန်လိုင်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0117-ob-p0189	ငါကြိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0118-ob-p0190	ဖျက္ကသုကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0119-ob-p0191	မန္တလေးနန်းတွင်းရုံကျောက်တိုင်အမှတ် ၄၀၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0120-ob-p0192	ကြသဝတ်ချွေးမကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0121-tx-p0193	မဟာသေနာပတိ အနန္တသူရမောင်နှံ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0121-tx-p0196	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0121-tx-p0198	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0121-tx-p0200	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0122-re-p0200	ငါလာနှင့် အို့နူပ် အုန်လူဝ်တို့ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0123-ob-p0202	ယဥလင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0124-ob-p0203	အိုဖ္လည် အမိနှင့် မောင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0125-ob-p0204	စတ္တလင်္ကသူငယ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0126-ob-p0205	ကံကုန်စခီသမီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0126-re-p0206	ကံကုန်စခီသမီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0127-ob-p0206	သင်ကြီး ငါပုံသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0128-ob-p0208	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0129-tx-p0209	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0130-ob-p0211	သိခင် ငစွယ်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0131-ob-p0212	သင်ကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0132-ob-p0213	မင်းဖွါး ဘို့ရောက်လွယ်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0133-ob-p0214	သခိင် အနန္တပျံခိ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0134-ob-p0215	မဟာဒါနပတိအမတ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0134-re-p0216	မဟာဒါနပတိအမတ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0135-ob-p0218	စောမင်းလတ်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0136-re-p0220	သိခင်စောနှင့် သိခင်နောင်ငဲ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0137-ob-p0221	ဓမ္မရာဇဝိလတ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0138-ob-p0222	အမတ် အစလပိဇည်တို့ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0139-ob-p0224	စည်သူမင်းကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0140-ob-p0226	သင်ကြီး ငါဖုန်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0141-ob-p0227	မင်းကြီး အသင်္ခယာကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0141-re-p0229	မင်းကြီး အသင်္ခယာကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0142-tx-p0229	လေးမျက်နှာဘုရားကျောက်စာရုံ အမှတ် ၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0142-tx-p0233	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0142-tx-p0235	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0142-tx-p0238	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0143-ob-p0240	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0144-re-p0242	စောမင်းလတ်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0145-ob-p0244	တိုင်းရင်းပုံ ၉၅~ခ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0146-tx-p0245	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0146-tx-p0246	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0147-re-p0248	သိခင်အနန္တပျံခိကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0148-ob-p0249	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0148-re-p0250	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
