raw_reference_string	occurrence_count
BA-39; List-146 BED B 559-6 & B 556-5; List 146; OBI 1, p. 360; SIP no. 12, p. 21; A, p. 39; List 135; B 2, p. 630; copy List 402; B 2, p. 819 (first inscr.); MM 4, no. 40, p. 186 (first part); List 134; B 2, p. 818	1
BA-419; BA-554	1
BA-41; List-153; IOB1-29 BED B 568-2; Pl. I 29; OBI 1, p. 81; UEM no. 14, p. 28; List 153; A, p. 41; MP, p. 93	1
BA-428,	1
BA-42; List-152; IOB1-21 BED B 560-4; Pl. I 21; OBI 1, p. 69; List 152; A, p. 42; MP 1, p. 53	1
BA-436, 1-2-3-4-5-,	1
BA-437	1
BA-43; List-151 BED B 560-6; List 151; OBI 1, p. 366; A, p. 43; MP 2, p. 61; B 2, p. 821; MM 3, p. 90 (not in List); copy List 150; A, p. 46; other copies are List 148; B 2, p. 822; MM 3, p. 93 (which has Vattalaṅkapuil as donor) and List 149; another copy is List 401; B 2, p. 823; MM 4, no. 64, p. 275 (dated CS 660/1398)	1
BA-466; List-1332; IOB3-335/b BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-471; List-1334/a; IOB3-336/b BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-472; List-1334/b; IOB3-336/a BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-474; List-1336; IOB3-334/a; IOB5-572/a BED B 602-4; OBI 2, p. 20; RDASB 1966; U Min Hswe, no. 7	1
BA-47; List-155	1
BA-487; List-1347; IOB5-502	1
BA-494; List-1354; IOB3-329	1
BA-496; List-1356; IOB4-405/d BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-49; List-159; IOB4-373/a BED B 593-4; Pl. IV 373a; OBI 1, p. 221	1
BA-508; List-1366 BED B 600-7; OBI 2, p. 1; RDASB 1971	1
BA-50; List-163 BED B 562-2; List 163; OBI 1, p. 224; A, p. 50; List 217; B 2, p. 796 (MM); List 130; B 2, p. 813; List 216; B 2, p. 815	1
BA-510; List-1368; IOB5-578/a BED B 600-7; OBI 2, p. 1; RDASB 1971	1
BA-51; List-168/a; IOB1-28/a BED B 568-1; Pl. I 28a+b; OBI 1, p. 77; List 168a+b; A, p. 51; MP 1, p. 61-65	1
BA-52; List-160/b; IOB1-28/b	1
BA-535; List-1391; IOB3-337/a BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-545; List-1399; IOB5-473/b	1
BA-546; List-1400; IOB3-332/a BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-54; List-363/b; IOB3-256 BED B 604-14 & B 604-12; Pl. III 256; OBI 2, p. 58; List 363b; A, p. 54	1
BA-55 & 56; List-169/a & IOB1-30/a & BED A; Pl. I 30b; OBI 2, p. 189; List 169b; A, p. 56	1
BA-55 & 56; List-169/a & IOB1-30/a & BED B 619-1; Pl. I 30a; OBI 2, p. 188; List 169a; A, p. 55	1
BA-57 & 539; List <xx>; IOB-44/b & 33/b BED B 578-4; Pl. I 44b and IV 331b; OBI 1, p. 117; List 180 and 1403; A, p. 97 and 549	1
BA-574-227; List-1248-555; IOB5-590	1
BA-583; List-1437	1
BA-58; List-192; IOB1-55/a BED B 587-5; Pl. I 55a; OBI 1, p. 183; List 152; A, p. 58	1
BA-595; List-1499; IOB5-599/d +; IOB3-332/b BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
BA-59; List-195; IOB1-46 BED B 586-6; Pl. I 46; OBI 1, p. 169; List 195; A, p. 59	1
