record_id	source_deposit	raw_reference_string
obi-v01-n0040-ob-p0064	zenodo_4321314	IOB2-117/a
obi-v01-n0040-ob-p0064	zenodo_4321314	BA-127
obi-v01-n0040-ob-p0064	zenodo_4321314	IOB5-581/b BED B 559-5
obi-v01-n0040-ob-p0064	zenodo_4321314	Pl. II 117a
obi-v01-n0040-ob-p0064	zenodo_4321314	OBI 1, p. 64
obi-v01-n0040-ob-p0064	zenodo_4321314	List 380b
obi-v01-n0040-ob-p0064	zenodo_4321314	A, p. 128
obi-v01-n0041-ob-p0065	zenodo_4321314	IUB1-257
obi-v01-n0041-ob-p0065	zenodo_4321314	List 154/a
obi-v01-n0041-ob-p0065	zenodo_4321314	IOB1-19/a, BED B 560-1
obi-v01-n0041-ob-p0065	zenodo_4321314	Pl. I 19-20
obi-v01-n0041-ob-p0065	zenodo_4321314	OBI 1, p. 65
obi-v01-n0041-ob-p0065	zenodo_4321314	UEM no. 11, p. 19
obi-v01-n0041-ob-p0065	zenodo_4321314	List 154a+b
obi-v01-n0041-ob-p0065	zenodo_4321314	UB 1, p. 257
obi-v01-n0041-ob-p0065	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 118
obi-v01-n0041-ob-p0065	zenodo_4321314	U Tin Htway, “First Burmese Royal Inscription”
obi-v01-n0041-re-p0067	zenodo_4321314	IUB1-258
obi-v01-n0041-re-p0067	zenodo_4321314	List-154/b
obi-v01-n0041-re-p0067	zenodo_4321314	IOB1-20/a,
obi-v01-n0042-ob-p0069	zenodo_4321314	BA-42
obi-v01-n0042-ob-p0069	zenodo_4321314	List-152
obi-v01-n0042-ob-p0069	zenodo_4321314	IOB1-21 BED B 560-4
obi-v01-n0042-ob-p0069	zenodo_4321314	Pl. I 21
obi-v01-n0042-ob-p0069	zenodo_4321314	OBI 1, p. 69
obi-v01-n0042-ob-p0069	zenodo_4321314	List 152
obi-v01-n0042-ob-p0069	zenodo_4321314	A, p. 42
obi-v01-n0042-ob-p0069	zenodo_4321314	MP 1, p. 53
obi-v01-n0043-ob-p0070	zenodo_4321314	IOB2-117/b BED B 560-5
obi-v01-n0043-ob-p0070	zenodo_4321314	Pl. II 117b
obi-v01-n0043-ob-p0070	zenodo_4321314	OBI 1, p. 70
obi-v01-n0043-ob-p0070	zenodo_4321314	Luce, Prayers, JBRS 1936, p. 135
obi-v01-n0043-ob-p0070	zenodo_4321314	U Than Tun, JBRS 1978, p. 15
obi-v01-n0043-ob-p0070	zenodo_4321314	Ray, Theravada Buddhism, p. 165
obi-v01-n0044-ob-p0071	zenodo_4321314	IUB2-259
obi-v01-n0044-ob-p0071	zenodo_4321314	List-160/a
obi-v01-n0044-ob-p0071	zenodo_4321314	IOB1-22 BED B 563-2
obi-v01-n0044-ob-p0071	zenodo_4321314	Pl. I 22
obi-v01-n0044-ob-p0071	zenodo_4321314	OBI 1, p. 71
obi-v01-n0044-ob-p0071	zenodo_4321314	UEM no. 12, p. 23
obi-v01-n0044-ob-p0071	zenodo_4321314	List 160a+b
obi-v01-n0044-ob-p0071	zenodo_4321314	UB 2, p. 259
obi-v01-n0044-re-p0072	zenodo_4321314	IUB2-260
obi-v01-n0044-re-p0072	zenodo_4321314	List-160/b
obi-v01-n0044-re-p0072	zenodo_4321314	IOB1-23
obi-v01-n0045-ob-p0073	zenodo_4321314	IUB1-174
obi-v01-n0045-ob-p0073	zenodo_4321314	List-161
obi-v01-n0045-ob-p0073	zenodo_4321314	IOB1-24 BED B 564-1
obi-v01-n0045-ob-p0073	zenodo_4321314	Pl. I 24
obi-v01-n0045-ob-p0073	zenodo_4321314	OBI 1, p. 73
obi-v01-n0045-ob-p0073	zenodo_4321314	SIP no. 14, p. 25
obi-v01-n0045-ob-p0073	zenodo_4321314	List 161
obi-v01-n0045-ob-p0073	zenodo_4321314	UB 1, p. 147
obi-v01-n0045-ob-p0073	zenodo_4321314	Anthology 1, p. 39
obi-v01-n0045-ob-p0073	zenodo_4321314	U Min Hswe, no. 67
obi-v01-n0046-ob-p0074	zenodo_4321314	IOB3-324/a
obi-v01-n0046-ob-p0074	zenodo_4321314	RDASB 1960-61 BED B 564-2
obi-v01-n0046-ob-p0074	zenodo_4321314	Pl. III 324a
obi-v01-n0046-ob-p0074	zenodo_4321314	OBI 1, p. 74
obi-v01-n0046-ob-p0074	zenodo_4321314	RDASB 1961, p. 13
obi-v01-n0047-ob-p0075	zenodo_4321314	IPPA-167
obi-v01-n0047-ob-p0075	zenodo_4321314	List-165-27 BED B 566-2
obi-v01-n0047-ob-p0075	zenodo_4321314	Pl. I 27
obi-v01-n0047-ob-p0075	zenodo_4321314	OBI 1, p. 75
obi-v01-n0047-ob-p0075	zenodo_4321314	List 165
obi-v01-n0047-ob-p0075	zenodo_4321314	PPA, p. 167
obi-v01-n0047-ob-p0075	zenodo_4321314	TN, p. 80
obi-v01-n0048-ob-p0077	zenodo_4321314	BA-51
obi-v01-n0048-ob-p0077	zenodo_4321314	List-168/a
obi-v01-n0048-ob-p0077	zenodo_4321314	IOB1-28/a BED B 568-1
obi-v01-n0048-ob-p0077	zenodo_4321314	Pl. I 28a+b
obi-v01-n0048-ob-p0077	zenodo_4321314	OBI 1, p. 77
obi-v01-n0048-ob-p0077	zenodo_4321314	List 168a+b
obi-v01-n0048-ob-p0077	zenodo_4321314	A, p. 51
obi-v01-n0048-ob-p0077	zenodo_4321314	MP 1, p. 61-65
obi-v01-n0048-re-p0078	zenodo_4321314	BA-52
obi-v01-n0048-re-p0078	zenodo_4321314	List-160/b
obi-v01-n0048-re-p0078	zenodo_4321314	IOB1-28/b
obi-v01-n0049-ob-p0080	zenodo_4321314	RDASB 1962-63 BED B 567-2
obi-v01-n0049-ob-p0080	zenodo_4321314	OBI 1, p. 80
obi-v01-n0049-ob-p0080	zenodo_4321314	RDASB 1963, p. 29
obi-v01-n0050-ob-p0081	zenodo_4321314	BA-41
obi-v01-n0050-ob-p0081	zenodo_4321314	List-153
obi-v01-n0050-ob-p0081	zenodo_4321314	IOB1-29 BED B 568-2
obi-v01-n0050-ob-p0081	zenodo_4321314	Pl. I 29
obi-v01-n0050-ob-p0081	zenodo_4321314	OBI 1, p. 81
obi-v01-n0050-ob-p0081	zenodo_4321314	UEM no. 14, p. 28
obi-v01-n0050-ob-p0081	zenodo_4321314	List 153
obi-v01-n0050-ob-p0081	zenodo_4321314	A, p. 41
obi-v01-n0050-ob-p0081	zenodo_4321314	MP, p. 93
obi-v01-n0051-ob-p0082	zenodo_4321314	1958-59-b RDASB BED B 568-3
obi-v01-n0051-ob-p0082	zenodo_4321314	OBI 1, p. 82
obi-v01-n0052-ob-p0083	zenodo_4321314	IPPA-109, 111
obi-v01-n0052-ob-p0083	zenodo_4321314	List-273/a
obi-v01-n0052-ob-p0083	zenodo_4321314	IOB1-31 BED B 593-1
obi-v01-n0052-ob-p0083	zenodo_4321314	Pl. I 31
obi-v01-n0052-ob-p0083	zenodo_4321314	OBI 1, p. 83
obi-v01-n0052-ob-p0083	zenodo_4321314	SIP no. 15, p. 26
obi-v01-n0052-ob-p0083	zenodo_4321314	UEM no. 15, p. 29
obi-v01-n0052-ob-p0083	zenodo_4321314	List 273(a)
obi-v01-n0052-ob-p0083	zenodo_4321314	PPA, p. 109
obi-v01-n0052-ob-p0083	zenodo_4321314	TN, p. 56
obi-v01-n0052-ob-p0083	zenodo_4321314	copies: List 212
obi-v01-n0052-ob-p0083	zenodo_4321314	B 2, p. 846
